Priority Tier,Contact Quality,Business Name,Category,Phone Number,Status,AI Receptionist,Appointment Scheduled?,Call Attempts,Notes,Last Contacted
Tier 1 - High Priority,Complete,All Dry Services,Water Damage / Restoration,(904) 592-9111,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,All Things Restored LLC,Water Damage / Restoration,(904) 423-5663,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,American Quality Restoration,Water Damage / Restoration,(904) 438-8780,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Bio-One Jax,Water Damage / Restoration,(904) 555-1234,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Bio-One of Duval County,Water Damage / Restoration,904-778-5125,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Coastal Restore Co.,Water Damage / Restoration,904-585-2282,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Cotton GDS,Water Damage / Restoration,877-511-2962,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Phone Only,Disaster Cleanup,Water Damage / Restoration,(904) 246-1234,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,DryZone,Water Damage / Restoration,(904) 246-1234,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Phone Only,ERS Restoration,Water Damage / Restoration,(904) 262-1234,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Phone Only,Firehouse Restoration,Water Damage / Restoration,1-800-461-7809,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,First Coast Contracting,Water Damage / Restoration,(904) 710-9545,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Phone Only,First Coast Restoration,Water Damage / Restoration,(904) 398-1234,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,First Onsite Property Restoration,Water Damage / Restoration,(904) 779-3675,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Phone Only,Flood Masters,Water Damage / Restoration,(904) 642-1234,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Jacksonville Damage Restoration,Water Damage / Restoration,(904) 585-1288,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Jax Decon,Water Damage / Restoration,(904) 906-6094,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Phone Only,Jax Mold,Water Damage / Restoration,(904) 724-1234,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Jenkins Restorations,Water Damage / Restoration,(904) 353-1234,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Kustom,Water Damage / Restoration,904-439-8900,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Kustom Disaster Restoration,Water Damage / Restoration,(904) 439-8900,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Phone Only,Mold Solutions,Water Damage / Restoration,(904) 733-1234,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Phone Only,Paul Davis Restoration,Water Damage / Restoration,(904) 739-6047,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Paul Davis Restoration Jax,Water Damage / Restoration,(904) 739-6047,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Paul Davis Restoration of North Florida,Water Damage / Restoration,904-739-6047,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,PuroClean of Jacksonville,Water Damage / Restoration,(904) 573-3566,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,PuroClean of Jacksonville Southbank,Water Damage / Restoration,(904) 428-0002,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Rainbow Restoration,Water Damage / Restoration,(904) 743-1234,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,"Rainbow Restoration of Deerwood, FL",Water Damage / Restoration,(904) 862-7522,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Regency DRT,Water Damage / Restoration,(888) 354-2447,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Phone Only,Remediation Specialists,Water Damage / Restoration,(904) 388-1234,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Restoration 1 of Jacksonville,Water Damage / Restoration,(904) 555-1234,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,"Restore 24, Inc.",Water Damage / Restoration,(904) 737-8673,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,SERVPRO of Arlington,Water Damage / Restoration,(904) 721-2230,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,SERVPRO of Fernandina Beach/Jacksonville Northeast,Water Damage / Restoration,(904) 729-2401,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,SERVPRO of Jacksonville South,Water Damage / Restoration,(904) 762-8066,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,SERVPRO of Jacksonville Westside / Orange Park,Water Damage / Restoration,(904) 779-3990,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,SERVPRO of Southside,Water Damage / Restoration,(904) 762-8066,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,SERVPRO of The Beaches / Ponte Vedra,Water Damage / Restoration,(904) 269-9282,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Phone Only,Sandra Restored It,Water Damage / Restoration,(904) 438-8109,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,ServiceMaster Restore Jax,Water Damage / Restoration,(904) 262-1234,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,Servpro of Mandarin,Water Damage / Restoration,(904) 636-0044,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,United Water Restoration,Water Damage / Restoration,(904) 241-1234,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Complete,United Water Restoration Group of Jacksonville,Water Damage / Restoration,(904) 906-5915,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Phone Only,Water Damage Pros Jacksonville,Water Damage / Restoration,(904) 398-1234,Haven't Called,,,,,3/27/2026
Tier 1 - High Priority,Phone Only,Water Out,Water Damage / Restoration,(904) 388-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,A-1 Electrical Contracting,Electrical Contractor,(904) 354-1502,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,ARC Electric,Electrical Contractor,(904) 733-4022,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Advanced Electric of North Florida,Electrical Contractor,(904) 744-4446,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Advanced Wiring Services,Electrical Contractor,(904) 744-4446,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,All Service Electric,Electrical Contractor,(904) 446-9440,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Almsgiving Electric LLC,Electrical Contractor,(617) 947-4811,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,American Electrical Contracting Inc.,Electrical Contractor,(904) 737-7770,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Asbury Electrical,Electrical Contractor,(904) 710-1419,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,B&G Electrical Contractors,Electrical Contractor,(904) 384-4654,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Bolt Electric,Electrical Contractor,(904) 701-3312,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Bright Home Electric,Electrical Contractor,(904) 434-2111,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Crawford Electric,Electrical Contractor,(904) 990-5464,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Current Electrical Contractors,Electrical Contractor,(904) 891-7050,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,David Gray Electrical,Electrical Contractor,(904) 724-7211,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,E3 Electric of NE FL Inc,Electrical Contractor,(904) 880-0333,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Energy Electric,Electrical Contractor,(904) 264-0010,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Fred Electric,Electrical Contractor,(732) 228-0833,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,GT Electrical Contractors Inc.,Electrical Contractor,(904) 852-0058,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Industrial Electric Testing,Electrical Contractor,904-260-8378,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,JAX Electrical Contracting,Electrical Contractor,(904) 505-1881,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,JaxPowerPro Electric,Electrical Contractor,(904) 689-7572,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Lickety-Split,Electrical Contractor,904-217-6218,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Lin's Electric Inc.,Electrical Contractor,(904) 868-6586,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,M&M Electric,Electrical Contractor,(904) 779-7000,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Mister Sparky First Coast,Electrical Contractor,(904) 204-1882,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Mister Sparky of Jacksonville,Electrical Contractor,(904) 512-2580,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Northeast Florida Wiring Solutions,Electrical Contractor,(904) 422-2955,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Power & Light Electric,Electrical Contractor,(904) 646-1211,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Pro-Fit Electrical,Electrical Contractor,(904) 620-0220,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Pure Power Electrical Contractor,Electrical Contractor,(904) 544-0434,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,"Quality Electrical Service, Inc.",Electrical Contractor,(904) 388-9198,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Schuman Electric,Electrical Contractor,904-374-9656,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Southeast Electrical Services,Electrical Contractor,(904) 221-5058,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Sunrise Electric,Electrical Contractor,(904) 724-1188,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Tenax Electrical,Electrical Contractor,(904) 604-6100,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Tenax Electrical Company,Electrical Contractor,(904) 604-6100,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Titan Electric,Electrical Contractor,(904) 398-1153,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,United Electric,Electrical Contractor,(904) 355-6677,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Action Pest Control,Pest Control,(904) 725-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,All-Seasons Pest Control,Pest Control,(813) 303-9690,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Apex Pest Control,Pest Control,(904) 262-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,B&B Exterminating,Pest Control,(904) 389-3323,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,B&B Pest Control,Pest Control,(904) 731-1511,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,B&G Pest Control,Pest Control,(904) 388-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Beaches Pest Control,Pest Control,(904) 241-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Bug Man Pest Control,Pest Control,(904) 733-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Bug Out,Pest Control,(904) 724-0600,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Bug Out (Arlington),Pest Control,(904) 842-4975,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,ClearDefense Pest Control,Pest Control,(904) 789-3232,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Dixon Pest Services,Pest Control,(850) 446-2872,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,First Coast Pest Control,Pest Control,(904) 384-3388,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Florida Pest Control,Pest Control,(904) 355-6624,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Good News Pest Solutions,Pest Control,(904) 246-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,HomeTeam Pest Defense,Pest Control,(904) 730-2522,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,JAX Wildlife Removal,Pest Control,904-738-0555,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Jax Pest Control,Pest Control,(904) 398-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,King's Pest Control,Pest Control,(904) 744-1111,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Lindsey Pest Services,Pest Control,(904) 296-6013,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Mark Pest,Pest Control,904-222-7625,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Massey Services,Pest Control,(904) 751-0199,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,McCall Service,Pest Control,(904) 389-5561,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Mission Pest (Jax),Pest Control,(904) 944-7378,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Nader's Pest Raiders,Pest Control,(904) 757-7378,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Orkin,Pest Control,904-661-7850,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Peninsular Pest Control,Pest Control,(904) 264-6500,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Proforce Pest Control,Pest Control,(904) 539-4664,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Quick Catch,Pest Control,904-859-6585,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Royal Pest Services,Pest Control,(904) 886-2847,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Safari Termite & Pest,Pest Control,(904) 726-9330,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Sovereign Pest Control,Pest Control,(904) 353-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Trutech Wildlife Service,Pest Control,(904) 467-5598,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Turner Pest Control,Pest Control,(904) 355-5300,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Wildlife PRO-Tection,Pest Control,(904) 999-9241,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,ASP - America's Swimming Pool Company of South Jacksonville,Pool Service,(904) 594-2648,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,All Clear Pool Services,Pool Service,(904) 619-3388,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Amenity Pool Service,Pool Service,+1-855-554-POOL,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Aqua Pool Service,Pool Service,(904) 388-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Blue Haven Pools & Spas,Pool Service,904-620-0090,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Blue Haven Pools on the Gulf,Pool Service,(904) 620-0090,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Blue Oasis Pool,Pool Service,(904) 744-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Blue Science Pool Cleaning Service,Pool Service,(904) 541-8600,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Blue Solutions Pools,Pool Service,(904) 585-2311,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Blue Water Pools,Pool Service,(904) 353-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Clarkson Pools,Pool Service,904-223-4050,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Classic Pools,Pool Service,(904) 731-0777,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Clear Water Pools,Pool Service,(904) 733-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Coastal Luxury Outdoors,Pool Service,(904) 543-2626,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Coastal Pool Care,Pool Service,(904) 377-8300,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Crown Pools,Pool Service,(904) 858-4300,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Crystal Clean Pools,Pool Service,(904) 725-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Elite Pool Service,Pool Service,(904) 398-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,First Coast Pool Cleaning,Pool Service,(904) 742-8240,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,First Coast Pools,Pool Service,(904) 241-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Florida Pool Professionals,Pool Service,(904) 388-1111,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,"Frank's Pool Services, Inc.",Pool Service,(904) 642-2583,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Gator Pools,Pool Service,(904) 642-1111,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Henderson Pool Service,Pool Service,(904) 241-7665,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Hidden Gem Pools,Pool Service,(904) 884-3825,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Jax Pool Service,Pool Service,(904) 246-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Jomo Pool Service,Pool Service,904-222-0809,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Kerry Martin Pools,Pool Service,904.262.2384,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Liquid Pool Service,Pool Service,(904) 724-1111,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,North East Florida Pool Service,Pool Service,(904) 636-0903,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,North East Florida Pools,Pool Service,(904) 636-0903,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Payne Pool Professionals,Pool Service,(904) 648-9411,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Pelican Pools,Pool Service,(904) 241-1111,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Pinch A Penny #219,Pool Service,(904) 379-3621,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Pinch A Penny #70,Pool Service,(904) 268-9561,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Pinch A Penny Pool Patio Spa (Mandarin),Pool Service,(904) 268-6156,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Pools By Stella Inc,Pool Service,(904) 662-5588,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Pratt Guys,Pool Service,(904) 724-7484,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Premier Pools & Spas,Pool Service,(904) 646-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Puddle Pool Services,Pool Service,904-867-3363,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Sean's Pool Service,Pool Service,(904) 625-2910,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Sharkey Pools,Pool Service,904-638-6045,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Splash Pools,Pool Service,(904) 262-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Sunrise Pools,Pool Service,(904) 743-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Surfside Pools,Pool Service,(904) 246-2666,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Tempool,Pool Service,(904) 262-5205,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,The Pool Guys of Jacksonville,Pool Service,(904) 364-1115,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Z Pool Services Jacksonville,Pool Service,(904) 729-7834,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,A Plus Consulting Unlimited,Real Estate Brokerage,(904) 233-2549,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,AgentChase Real Estate,Real Estate Brokerage,(904) 513-8575,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,All Real Estate Options,Real Estate Brokerage,(904) 246-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Bold City Real Estate,Real Estate Brokerage,(904) 262-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Century 21 Lighthouse Realty,Real Estate Brokerage,(904) 724-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Cindy Corey - Better Homes and Gardens Lifestyle Realty,Real Estate Brokerage,(904) 673-6740,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Cindy Moore - Watson Realty Corp.,Real Estate Brokerage,(904) 651-3575,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Coldwell Banker Vanguard Realty,Real Estate Brokerage,(904) 269-7117,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Compass Real Estate (Avondale),Real Estate Brokerage,(904) 502-6160,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Cowford Realty & Design,Real Estate Brokerage,(904) 330-4733,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,CrossView Realty,Real Estate Brokerage,(904) 503-0672,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,DJ & Lindsey Real Estate,Real Estate Brokerage,(904) 560-5671,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Davidson Realty,Real Estate Brokerage,(904) 940-5000,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Eldeen Ebanks - Momentum Realty,Real Estate Brokerage,(754) 281-6491,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,Engle & Volkers Jax,Real Estate Brokerage,(904) 388-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Exit Real Estate Gallery,Real Estate Brokerage,(904) 260-9999,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Florida Homes Realty,Real Estate Brokerage,(904) 589-4516,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Florida Homes Realty & Mortgage,Real Estate Brokerage,904-996-9115,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Herron Real Estate,Real Estate Brokerage,(904) 710-1845,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Keller Williams Jacksonville,Real Estate Brokerage,(904) 288-7990,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,"Keller Williams Realty, Jacksonville Southside",Real Estate Brokerage,klrw955@kw.com,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Magnolia Properties,Real Estate Brokerage,(904) 348-5665,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Momentum Realty,Real Estate Brokerage,904-351-6461,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,"NetWorth Realty of Jacksonville, LLC",Real Estate Brokerage,(904) 524-8466,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,NuView Realty,Real Estate Brokerage,(904) 241-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Pursuit Real Estate,Real Estate Brokerage,(904) 448-6771,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Realty One Group Elevate,Real Estate Brokerage,(904) 426-0144,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,River Point Real Estate,Real Estate Brokerage,(904) 744-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Riverpoint Real Estate,Real Estate Brokerage,(904) 396-6456,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Root Realty,Real Estate Brokerage,,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Sieva Realty LLC,Real Estate Brokerage,(904) 223-9949,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,The Brooks Group - Keller Williams,Real Estate Brokerage,(904) 570-1216,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,The Legends of Real Estate,Real Estate Brokerage,(904) 739-7100,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,The Rocco Group,Real Estate Brokerage,(904) 569-4741,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Title America,Real Estate Brokerage,904-262-6400,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Watson Realty Corp,Real Estate Brokerage,(904) 596-5900,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,YellowBird Realty,Real Estate Brokerage,(904) 600-4400,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,AJ Wells Roofing,Roofing Contractor,(904) 553-0069,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,AJ Wells Roofing & Construction,Roofing Contractor,(904) 553-0069,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Phone Only,BRC Roofing,Roofing Contractor,(904) 744-1234,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Baldwin Roofing Company,Roofing Contractor,(833) 217-7663,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Benton Integrity Roofing,Roofing Contractor,(904) 262-4364,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Best Choice Roofing,Roofing Contractor,(904) 901-7052,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Best Roof Jax,Roofing Contractor,(904) 500-2378,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Big Fish Roofing,Roofing Contractor,(904) 732-2111,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Bigfoot Roofing & Construction,Roofing Contractor,(904) 751-6112,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Excel Roofing,Roofing Contractor,(904) 641-6455,Haven't Called,,,,,3/27/2026
Tier 2 - Medium Priority,Complete,Fidus Roofing,Roofing Contractor,(904) 230-5548,Haven't Called,,,,,3/27/2026
